epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2781,0,346.926,0,0,0,0,0,0,306.546,0,0,0,0
2,36.3799,0,362.633,0,0,0,0,0,0,304.629,0,1.089e-05,1.089e-05,1.089e-05
3,48.5213,0,303.266,0,0,0,0,0,0,300.025,0,2.13401e-05,2.13401e-05,2.13401e-05
4,60.5655,0,265.375,0,0,0,0,0,0,302.036,0,3.13502e-05,3.13502e-05,3.13502e-05
5,72.0563,0,250.255,0,0,0,0,0,0,315.466,0,4.09204e-05,4.09204e-05,4.09204e-05
6,83.7955,0,218.607,0,0,0,0,0,0,324.346,0,5.00506e-05,5.00506e-05,5.00506e-05
7,95.9182,0,194.274,0,0,0,0,0,0,339.455,0,5.87408e-05,5.87408e-05,5.87408e-05
8,108.803,0,177.369,0,0,0,0,0,0,382.244,0,6.69911e-05,6.69911e-05,6.69911e-05
9,122.209,0,164.982,0,0,0,0,0,0,460.086,0,7.48014e-05,7.48014e-05,7.48014e-05
10,136.519,0,154.369,0,0,0,0,0,0,510.98,0,8.21718e-05,8.21718e-05,8.21718e-05
